label,ingredients,calories,protein,carbohydrates,fats,fiber,sugars,sodium
ice_cream,"Milk, cream, sugar, vanilla/flavorings, egg yolks (optional)",200,4,25,10,0,20,50
lasagna,"Ground beef, tomato sauce, ricotta, mozzarella, lasagna sheets, parmesan",200,10,20,10,2,3,300
lobster_bisque,"Lobster/crab meat, cream, butter, onion, celery, brandy, spices",125,5,7.5,7.5,1,2.5,250
lobster_roll_sandwich,"Lobster meat, mayonnaise, chopped celery, lemon juice, warm roll, lettuce",200,10,15,10,1,2.5,300
macaroni_and_cheese,"Macaroni, cheddar cheese, milk, butter, flour, mustard (optional)",200,6,25,9,1,3,300
macarons,"Almond flour, sugar, egg whites, powdered sugar, food coloring, various fillings",400,6,50,20,2,40,100
miso_soup,"Miso paste, tofu, wakame seaweed, green onion, hot water",50,3,5,1.5,1,1,400
mussels,"Mussels, garlic, onion, tomato, white wine, parsley, butter",133.3,16.7,3.3,5.3,0,0.7,266.7
nachos,"Tortilla chips, cheese, tomato/chili salsa, chili pepper, beans, avocado (guacamole)",250,5,25,12.5,2,2.5,300
omelette,"Eggs, butter, salt, pepper, vegetables (mushrooms, bell pepper), cheese (optional)",166.7,10,1.3,12,0,0.7,200
onion_rings,"Onion rings, flour, eggs, breadcrumbs, oil, salt",300,4,35,15,2,5,200
oysters,"Raw oysters, lemon juice, shallot sauce (or cocktail sauce), seasoning",100,10,5,3,0,1,200
pad_thai,"Rice noodles, eggs, shrimp/chicken, bean sprouts, peanuts, tamarind sauce, green onion",200,7.5,30,6,2,5,300
paella,"Rice, chicken, shrimp, mussels, saffron, vegetables (tomato, peas), chorizo",175,10,20,5,1.5,2.5,250
pancakes,"Flour, eggs, milk, butter, baking powder, sugar, vanilla, maple syrup (optional)",250,6,35,8,2,10,300
panna_cotta,"Cream, sugar, vanilla, gelatin, strawberry/caramel sauce (optional)",300,5,25,20,0,20,50
peking_duck,"Whole duck, honey, soy sauce, Chinese five-spice, cucumber, green onion, hoisin sauce",266.7,20,6.7,16.7,0,3.3,333.3
pho,"Beef broth, rice noodles, sliced beef, basil, cilantro, bean sprouts, lime",116.7,6.7,16.7,2.7,1,1.7,266.7
pizza,"Pizza dough, tomato sauce, mozzarella, ground meat/pepperoni, vegetables (mushrooms, peppers)",250,10,30,10,2,2.5,400
pork_chop,"Pork loin, salt, pepper, olive oil, garlic, rosemary",233.3,20,0,14.7,0,0,266.7
poutine,"French fries, cheese curds, hot gravy",250,5,25,12.5,1.5,1,300
prime_rib,"Prime rib roast, salt, pepper, garlic, rosemary, thyme, butter",300,20,0,22.5,0,0,250
pulled_pork_sandwich,"Pulled pork, BBQ sauce, coleslaw, burger bun, pickles",200,10,20,7.5,1.5,5,300
ramen,"Wheat noodles, meat/chicken broth, egg, pork (chashu), seaweed, corn, green onion",133.3,5,20,3.3,1.3,1.7,266.7
ravioli,"Pasta dough, ground meat/vegetables/cheese (filling), tomato sauce or butter and sage",150,6,20,5,1.5,2,250
red_velvet_cake,"Flour, sugar, cocoa, buttermilk, vinegar, baking soda, red food coloring, cream cheese (frosting)",350,5,45,18,2,30,300
risotto,"Arborio rice, meat/chicken broth, onion, butter, white wine, parmesan",150,4,25,4,1,1.5,200
samosa,"Dough, potatoes, peas, spices (cumin, coriander), oil, salt",300,6,40,12,4,4,400
sashimi,"Raw fish (salmon, tuna, grouper), wasabi, soy sauce, pickled ginger",150,25,0,5,0,0,100
scallops,"Scallop meat, butter, garlic, lemon juice, salt, pepper",120,20,2,3,0,0,200
seaweed_salad,"Seaweed (wakame), sesame, soy sauce, vinegar, sesame oil, sugar",50,2,8,1,3,2,300
shrimp_and_grits,"Shrimp, grits, butter, cheddar cheese, bacon, green onion, Cajun seasoning",150,10,15,5,1,1.5,250
spaghetti_bolognese,"Spaghetti, ground beef, tomato sauce, onion, carrot, celery, garlic, olive oil",175,7.5,20,6,1.5,2.5,200
spaghetti_carbonara,"Spaghetti, eggs, parmesan/pecorino, bacon/pancetta, black pepper, olive oil",200,7.5,22.5,9,1,2,250
spring_rolls,"Rice paper, vegetables (carrots, cabbage, cucumber), meat/shrimp, soy sauce, mint",200,6,30,8,2,4,300
steak,"Steak, butter, garlic, rosemary, salt, black pepper",250,23.3,0,16.7,0,0,66.7
strawberry_shortcake,"Sponge cake, fresh strawberries, whipped cream, sugar, vanilla",300,4,40,12,2,25,200
sushi,"Sushi rice, seaweed (nori), raw fish (salmon, tuna), vegetables (cucumber, avocado)",200,8,30,2,1,5,300
tacos,"Corn/wheat tortilla, ground meat/chicken, lettuce, tomato, cheese, salsa",250,10,20,12,3,2,300
takoyaki,"Flour batter, cooked octopus, green onion, special sauce, katsuobushi, mayonnaise",200,8,25,8,1,5,300
tiramisu,"Savoiardi biscuits, mascarpone, espresso, eggs, sugar, cocoa powder",300,6,30,15,1,20,100
tuna_tartare,"Raw tuna, soy sauce, sesame oil, green onion, avocado, sesame seeds, lemon juice",150,20,2,5,0,1,200
waffles,"Flour, eggs, milk, butter, baking powder, sugar, vanilla, maple syrup (optional)",300,6,40,12,2,10,300
